case_id,domain,instance,has_social_law,verifier,status,planner_status,single_agent_statuses,elapsed_seconds,source_problem_name,compiled_problem_name,warnings,log_file
numeric_markettrader__pfile1__without_sl,numeric_markettrader,pfile1.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,4.491,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile1,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile1,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile1__without_sl.log
numeric_markettrader__pfile2__without_sl,numeric_markettrader,pfile2.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,3.557,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile2,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile2__without_sl.log
numeric_markettrader__pfile3__without_sl,numeric_markettrader,pfile3.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,5.653,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile3,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile3__without_sl.log
numeric_markettrader__pfile4__without_sl,numeric_markettrader,pfile4.json,False,general,UNKNOWN,INTERNAL_ERROR,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,113.128,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile4,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile4,Compiled robustness problem returned INTERNAL_ERROR.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile4__without_sl.log
numeric_markettrader__pfile5__without_sl,numeric_markettrader,pfile5.json,False,general,UNKNOWN,INTERNAL_ERROR,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,114.788,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile5,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile5,Compiled robustness problem returned INTERNAL_ERROR.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile5__without_sl.log
numeric_markettrader__pfile6__without_sl,numeric_markettrader,pfile6.json,False,general,UNKNOWN,INTERNAL_ERROR,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,115.161,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile6,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile6,Compiled robustness problem returned INTERNAL_ERROR.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile6__without_sl.log
numeric_markettrader__pfile7__without_sl,numeric_markettrader,pfile7.json,False,general,UNKNOWN,INTERNAL_ERROR,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING,118.439,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile7,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile7,Compiled robustness problem returned INTERNAL_ERROR.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile7__without_sl.log
numeric_markettrader__pfile8__without_sl,numeric_markettrader,pfile8.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile8__without_sl.log
numeric_markettrader__pfile9__without_sl,numeric_markettrader,pfile9.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile9__without_sl.log
numeric_markettrader__pfile10__without_sl,numeric_markettrader,pfile10.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile10__without_sl.log
numeric_markettrader__pfile11__without_sl,numeric_markettrader,pfile11.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile11__without_sl.log
numeric_markettrader__pfile12__without_sl,numeric_markettrader,pfile12.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile12__without_sl.log
numeric_markettrader__pfile13__without_sl,numeric_markettrader,pfile13.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile13__without_sl.log
numeric_markettrader__pfile14__without_sl,numeric_markettrader,pfile14.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile14__without_sl.log
numeric_markettrader__pfile15__without_sl,numeric_markettrader,pfile15.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING;camel2:SOLVED_SATISFICING;camel3:SOLVED_SATISFICING,75.135,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile15,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile15,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile15__without_sl.log
numeric_markettrader__pfile16__without_sl,numeric_markettrader,pfile16.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING;camel2:SOLVED_SATISFICING;camel3:SOLVED_SATISFICING,88.321,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile16,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile16,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile16__without_sl.log
numeric_markettrader__pfile17__without_sl,numeric_markettrader,pfile17.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING;camel2:SOLVED_SATISFICING;camel3:SOLVED_SATISFICING,111.592,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile17,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile17,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile17__without_sl.log
numeric_markettrader__pfile18__without_sl,numeric_markettrader,pfile18.json,False,general,ROBUST_RATIONAL,UNSOLVABLE_PROVEN,camel0:SOLVED_SATISFICING;camel1:SOLVED_SATISFICING;camel2:SOLVED_SATISFICING;camel3:SOLVED_SATISFICING,111.992,market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile18,wrbv_market_trader_/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/instances/numeric_markettrader/pfile18,,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile18__without_sl.log
numeric_markettrader__pfile19__without_sl,numeric_markettrader,pfile19.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile19__without_sl.log
numeric_markettrader__pfile20__without_sl,numeric_markettrader,pfile20.json,False,general,UNKNOWN,WALL_TIMEOUT,,120,,,Worker hit wall timeout.,/home/ym/Documents/GitHub/up_social_laws_experimentation/experimentation/runs/run_20260423_142556/logs/general__numeric_markettrader__pfile20__without_sl.log
